DATE;WAARDE
18-1-2015;0.6
19-1-2015;9.7
20-1-2015;0.3
21-1-2015;0
22-1-2015;0
23-1-2015;0
24-1-2015;10.7
25-1-2015;0.3
26-1-2015;1.2
27-1-2015;0.7
28-1-2015;0
29-1-2015;5.9
30-1-2015;4.6
31-1-2015;1.3
1-2-2015;7.4
2-2-2015;3.8
3-2-2015;11.7
4-2-2015;0.4
5-2-2015;1.9
6-2-2015;0.2
7-2-2015;0
8-2-2015;0.6
9-2-2015;0
10-2-2015;0.3
11-2-2015;0
12-2-2015;0
13-2-2015;0
14-2-2015;0
15-2-2015;0.6
16-2-2015;0
17-2-2015;0.2
18-2-2015;0
19-2-2015;0
20-2-2015;5.1
21-2-2015;22.4
22-2-2015;2.3
23-2-2015;5.7
24-2-2015;0.4
25-2-2015;1.3
26-2-2015;1.7
27-2-2015;10.9
28-2-2015;0
1-3-2015;4.6
2-3-2015;1.5
3-3-2015;0.3
4-3-2015;3.8
5-3-2015;0
6-3-2015;0
7-3-2015;0
8-3-2015;0
9-3-2015;0
10-3-2015;0.3
11-3-2015;0
12-3-2015;0
13-3-2015;0
14-3-2015;0
15-3-2015;0.2
16-3-2015;0
17-3-2015;0
18-3-2015;0
19-3-2015;0
20-3-2015;0
21-3-2015;0.3
22-3-2015;0.9
23-3-2015;0
24-3-2015;0
25-3-2015;5.2
26-3-2015;1.7
27-3-2015;4.9
28-3-2015;0
29-3-2015;3.4
30-3-2015;11.3
31-3-2015;11.9
1-4-2015;2.4
2-4-2015;5.1
3-4-2015;0.3
4-4-2015;1.8
5-4-2015;0.4
6-4-2015;0
7-4-2015;0
8-4-2015;0
9-4-2015;0
10-4-2015;0
11-4-2015;0.2
12-4-2015;2.3
13-4-2015;0
14-4-2015;0
15-4-2015;0
16-4-2015;0
17-4-2015;0
18-4-2015;0
19-4-2015;0
20-4-2015;0
21-4-2015;0
22-4-2015;0
23-4-2015;0
24-4-2015;0
25-4-2015;1.3
26-4-2015;1.8
27-4-2015;1.1
28-4-2015;0
29-4-2015;0
30-4-2015;0.9
1-5-2015;0.6
2-5-2015;0
3-5-2015;0
4-5-2015;1.4
5-5-2015;10.7
6-5-2015;8.6
7-5-2015;2.3
8-5-2015;0.4
9-5-2015;1.2
10-5-2015;3.6
11-5-2015;0
12-5-2015;0
13-5-2015;0
14-5-2015;0
15-5-2015;2.3
16-5-2015;0.6
17-5-2015;1.2
18-5-2015;0
19-5-2015;3.2
20-5-2015;10.8
21-5-2015;0
22-5-2015;0
23-5-2015;0
24-5-2015;0.4
25-5-2015;0.3
26-5-2015;0
27-5-2015;0
28-5-2015;1.4
29-5-2015;0
30-5-2015;2.7
31-5-2015;2.4
1-6-2015;10.9
2-6-2015;1.4
3-6-2015;0.3
4-6-2015;0
5-6-2015;0
6-6-2015;2.1
7-6-2015;0
8-6-2015;0
9-6-2015;0
10-6-2015;0
11-6-2015;0
12-6-2015;0
13-6-2015;0
14-6-2015;0
15-6-2015;0
16-6-2015;0
17-6-2015;0
18-6-2015;6.4
19-6-2015;0
20-6-2015;0.6
21-6-2015;0.3
22-6-2015;3.4
23-6-2015;3
24-6-2015;0.4
25-6-2015;0
26-6-2015;0
27-6-2015;0
28-6-2015;0
29-6-2015;0
30-6-2015;0
1-7-2015;0
2-7-2015;0
3-7-2015;0
4-7-2015;0
5-7-2015;0
6-7-2015;4.7
7-7-2015;0
