Volkerak_spuisluizen_gat2_gat3
* Q in miljoen m3 per dag
* period 2010 t/m 2018
*DATUM WAARDE
20130304 1.8394
20130305 3.2685
20130306 3.4977
20130307 8.4819
20130308 2.2972
20130309 3.5271
20130310 4.3323
20130311 4.5018
20130312 4.377
20130313 3.5833
20130314 0.9644
20130315 3.3582
20130316 1.9449
20130317 4.3281
20130318 3.5875
20130319 4.403
20130320 4.6074
20130321 1.7462
20130322 1.8587
20130323 1.3846
20130324 1.8903
20130325 5.448
20130326 5.2975
20130327 3.8843
20130328 4.194
20130329 4.8637
20130330 6.5184
20130331 6.1502
20130401 5.2788
20130402 5.6995
20130403 5.0648
20130404 4.6022
20130405 4.6114
20130406 5.4448
20130407 5.3833
20130408 2.6467
20130409 2.3083
20130410 2.1374
20130411 2.5546
20130412 1.6426
20130413 1.8849
20130414 1.7977
20130415 2.184
20130416 1.9081
20130417 1.8546
20130418 1.5482
20130419 1.5996
20130420 1.6034
20130421 1.4572
20130422 2.0536
20130423 2.4792
20130424 2.2718
20130425 2.4407
20130426 2.8936
20130427 2.0562
20130428 1.6636
20130429 1.842
20130430 1.8949
20130501 1.826
20130502 1.949
20130503 1.705
20130504 1.8553
20130505 1.9361
20130506 1.9495
20130507 1.9281
20130508 1.9524
20130509 1.9528
20130510 1.9531
20130511 1.9379
20130512 1.7971
20130513 1.9031
20130514 1.693
20130515 1.9238
20130516 1.9399
20130517 1.7159
20130518 1.6672
20130519 1.8836
20130520 1.8124
20130521 1.3998
20130522 1.2111
20130523 1.2915
20130524 1.496
20130525 1.9463
20130526 1.7259
20130527 1.9307
20130528 1.9504
20130529 1.9506
20130530 1.9312
20130531 1.8837
20130601 1.8286
20130602 1.9466
20130603 1.949
20130604 1.0175
20130605 0.3346
20130606 1.8964
20130607 1.8503
20130608 1.8574
20130609 1.8497
20130610 1.6362
20130611 1.7938
20130612 0.0784
20130613 0.1459
20130614 0.1392
20130615 0.1796
20130616 0.0693
20130617 1.9476
20130618 1.6657
20130619 2.6991
20130620 2.9796
20130621 2.7921
20130622 3.4703
20130623 3.6679
20130624 2.5914
20130625 4.2207
20130626 6.5428
20130627 4.8815
20130628 6.1295
20130629 4.8182
20130630 4.7458
20130701 4.6113
20130702 5.5899
20130703 4.78
20130704 4.9355
20130705 4.7052
20130706 5.3136
20130707 6.0624
20130708 6.2439
20130709 5.43
20130710 5.2645
20130711 5.5402
20130712 5.0269
20130713 6.7185
20130714 6.4101
20130715 4.3393
20130716 4.5471
20130717 4.9068
20130718 5.5447
20130719 4.4433
20130720 5.2822
20130721 5.3529
20130722 5.1577
20130723 5.2192
20130724 4.8591
20130725 4.2204
20130726 5.9616
20130727 4.4011
20130728 1.6363
20130729 3.9312
20130730 4.7969
20130731 4.6928
20130801 4.9788
20130802 4.7968
20130803 4.6917
20130804 4.6856
20130805 4.7313
20130806 4.7728
20130807 3.1049
20130808 3.6309
20130809 5.3848
20130810 4.8906
20130811 4.8185
20130812 4.9929
20130813 4.1918
20130814 1.4648
20130815 1.8647
20130816 1.8536
20130817 1.611
20130818 1.5761
20130819 0.8391
20130820 1.3199
20130821 1.782
20130822 1.9283
20130823 1.9504
20130824 1.9498
20130825 1.846
20130826 1.826
20130827 1.9073
20130828 1.8395
20130829 1.8686
20130830 2.586
20130831 3.0955
20130901 2.8021
20130902 2.8305
20130903 4.8179
20130904 3.7101
20130905 3.3252
20130906 1.114
20130907 1.6949
20130908 1.8182
20130909 1.8197
20130910 1.6787
20130911 1.2127
20130912 0.0513
20130913 0.0559
20130914 0.0352
20130915 0.0721
20130916 0.1623
20130917 0.0498
20130918 0.0008
20130919 0.0697
20130920 0.0152
20130921 0.1048
20130922 0.2045
20130923 0.1512
20130924 1.8059
20130925 1.8997
20130926 1.7234
20130927 0.0797
20130928 1.9205
20130929 1.9198
20130930 1.9203
20131001 1.9353
20131002 1.6992
20131003 0.8456
20131004 0.0455
20131005 0.0681
20131006 1.6473
20131007 0.3989
20131008 0.1241
20131009 0.0714
20131010 0.3216
20131011 0.3161
20131012 0.9175
20131013 1.3088
20131014 0.059
20131015 0.0114
20131016 0.0046
20131017 0.1283
20131018 0.0195
20131019 1.3171
20131020 0.1565
20131021 1.4044
20131022 0.0966
20131023 0.3414
20131024 0.6349
20131025 0.1435
20131026 0.1935
20131027 0.1726
20131028 0.3289
20131029 0.1203
20131030 0.1329
20131031 0.1259
20131101 0.1954
20131102 0.0665
20131103 0.0631
20131104 0.3866
20131105 0.11
20131106 0.1428
20131107 0.2191
20131108 0.1031
20131109 0.1543
20131110 0.5403
20131111 0.0938
20131112 1.363
20131113 0.0187
20131114 1.1909
20131115 0.4155
20131116 0.0109
20131117 1.5841
20131118 0.0075
20131119 1.0014
20131120 1.4385
20131121 1.4133
20131122 1.9116
20131123 1.8211
20131124 1.4706
20131125 1.7212
20131126 1.9364
20131127 0.0628
20131128 0.0127
20131129 0.0149
20131130 0.3204
20131201 1.0739
20131202 1.5847
20131203 1.8133
20131204 1.4294
20131205 0.3208
20131206 0.1329
20131207 0.0974
20131208 0.1838
20131209 0.0991
20131210 0.0716
20131211 0.0985
20131212 0.0886
